Time,traffic
2005-06-07 07:00,3562279127
2005-06-07 07:05,3710215571
2005-06-07 07:10,3877469703
2005-06-07 07:15,3876354871
2005-06-07 07:20,4582542581
2005-06-07 07:25,5016336869
2005-06-07 07:30,5202513642
2005-06-07 07:35,5410604985
2005-06-07 07:40,5408071320
2005-06-07 07:45,5598048880
2005-06-07 07:50,5268183974
2005-06-07 07:55,5205965910
2005-06-07 08:00,5554284558
2005-06-07 08:05,6071804752
2005-06-07 08:10,6533409311
2005-06-07 08:15,6432612096
2005-06-07 08:20,6422634291
2005-06-07 08:25,6413343245
2005-06-07 08:30,6438472853
2005-06-07 08:35,6593321117
2005-06-07 08:40,6386798311
2005-06-07 08:45,6402829429
2005-06-07 08:50,6448640206
2005-06-07 08:55,6758012799
2005-06-07 09:00,6897537181
2005-06-07 09:05,6625683956
2005-06-07 09:10,6786593033
2005-06-07 09:15,6741090851
2005-06-07 09:20,6857892154
2005-06-07 09:25,6885633911
2005-06-07 09:30,7036186201
2005-06-07 09:35,7182820092
2005-06-07 09:40,6897783063
2005-06-07 09:45,6802926206
2005-06-07 09:50,6856304069
2005-06-07 09:55,6963587768
2005-06-07 10:00,7283565230
2005-06-07 10:05,7294355973
2005-06-07 10:10,7277773691
2005-06-07 10:15,7327652118
2005-06-07 10:20,7411935065
2005-06-07 10:25,7559621824
2005-06-07 10:30,7464144357
2005-06-07 10:35,7556335967
2005-06-07 10:40,7531158925
2005-06-07 10:45,7451588318
2005-06-07 10:50,7251552599
2005-06-07 10:55,7387311025
2005-06-07 11:00,7534902212
2005-06-07 11:05,7669462738
2005-06-07 11:10,7806347806
2005-06-07 11:15,7633844064
2005-06-07 11:20,7666925195
2005-06-07 11:25,7520164584
2005-06-07 11:30,7501747391
2005-06-07 11:35,7767857531
2005-06-07 11:40,7232609101
2005-06-07 11:45,7274338276
2005-06-07 11:50,7408981176
2005-06-07 11:55,7230742271
2005-06-07 12:00,7354167649
2005-06-07 12:05,7107897687
2005-06-07 12:10,7295721127
2005-06-07 12:15,7080999121
2005-06-07 12:20,7606453644
2005-06-07 12:25,7642015997
2005-06-07 12:30,7848884725
2005-06-07 12:35,7724196995
2005-06-07 12:40,7650962743
2005-06-07 12:45,7753904748
2005-06-07 12:50,7744009419
2005-06-07 12:55,7336903262
2005-06-07 13:00,7485654677
2005-06-07 13:05,7513611244
2005-06-07 13:10,7644185813
2005-06-07 13:15,7414962086
2005-06-07 13:20,7514644125
2005-06-07 13:25,7445178236
2005-06-07 13:30,7294385873
2005-06-07 13:35,7233354647
2005-06-07 13:40,7332941859
2005-06-07 13:45,7513492139
2005-06-07 13:50,7528727688
2005-06-07 13:55,8536272286
2005-06-07 14:00,7724842582
2005-06-07 14:05,7599001549
2005-06-07 14:10,7348468015
2005-06-07 14:15,7326327200
2005-06-07 14:20,7639506670
2005-06-07 14:25,7802449354
2005-06-07 14:30,7485672218
2005-06-07 14:35,7354957743
2005-06-07 14:40,7497015314
2005-06-07 14:45,7235630142
2005-06-07 14:50,7434386233
2005-06-07 14:55,7519403839
2005-06-07 15:00,7403087775
2005-06-07 15:05,7366791574
2005-06-07 15:10,7577678754
2005-06-07 15:15,7326687210
2005-06-07 15:20,7259778835
2005-06-07 15:25,7499146875
2005-06-07 15:30,7530745790
2005-06-07 15:35,7054149566
2005-06-07 15:40,7134469847
2005-06-07 15:45,7081949563
2005-06-07 15:50,6953665837
2005-06-07 15:55,7023590624
2005-06-07 16:00,6759900139
2005-06-07 16:05,6530131152
2005-06-07 16:10,6447105457
2005-06-07 16:15,6330514608
2005-06-07 16:20,6331684427
2005-06-07 16:25,6223271197
2005-06-07 16:30,6202872405
2005-06-07 16:35,5914776765
2005-06-07 16:40,5917454777
2005-06-07 16:45,5921237644
2005-06-07 16:50,5640499083
2005-06-07 16:55,5391187185
2005-06-07 17:00,5349731374
2005-06-07 17:05,5306831763
2005-06-07 17:10,4924258813
2005-06-07 17:15,4870140499
2005-06-07 17:20,5051888264
2005-06-07 17:25,4936297774
2005-06-07 17:30,4670716971
2005-06-07 17:35,4336637893
2005-06-07 17:40,4315527574
2005-06-07 17:45,4234212594
2005-06-07 17:50,4403446516
2005-06-07 17:55,4295636203
2005-06-07 18:00,4158312131
2005-06-07 18:05,3994767281
2005-06-07 18:10,3981376101
2005-06-07 18:15,4103194285
2005-06-07 18:20,4191264851
2005-06-07 18:25,4107663994
2005-06-07 18:30,3950115059
2005-06-07 18:35,3884135336
2005-06-07 18:40,4106267810
2005-06-07 18:45,3873014865
2005-06-07 18:50,3987571377
2005-06-07 18:55,3772918776
2005-06-07 19:00,3967867664
2005-06-07 19:05,3768411435
2005-06-07 19:10,3524927741
2005-06-07 19:15,3533644824
2005-06-07 19:20,3611084551
2005-06-07 19:25,3718716907
2005-06-07 19:30,3622619626
2005-06-07 19:35,3649115438
2005-06-07 19:40,3824052475
2005-06-07 19:45,3802783518
2005-06-07 19:50,3724816224
2005-06-07 19:55,3658838363
2005-06-07 20:00,3634119585
2005-06-07 20:05,3625261928
2005-06-07 20:10,3670661268
2005-06-07 20:15,3569002593
2005-06-07 20:20,3704103060
2005-06-07 20:25,3600959582
2005-06-07 20:30,3540508801
2005-06-07 20:35,3530136362
2005-06-07 20:40,3586244712
2005-06-07 20:45,3580008115
2005-06-07 20:50,3518283866
2005-06-07 20:55,3490909198
2005-06-07 21:00,3273634716
2005-06-07 21:05,3220012819
2005-06-07 21:10,3268927551
2005-06-07 21:15,3165384774
2005-06-07 21:20,3201339313
2005-06-07 21:25,3168450654
2005-06-07 21:30,3036703512
2005-06-07 21:35,2999785689
2005-06-07 21:40,2931969530
2005-06-07 21:45,3063506195
2005-06-07 21:50,2874825851
2005-06-07 21:55,2756967891
2005-06-07 22:00,2746056942
2005-06-07 22:05,2710922432
2005-06-07 22:10,2687775945
2005-06-07 22:15,2750878241
2005-06-07 22:20,2654607198
2005-06-07 22:25,2649790823
2005-06-07 22:30,2561522102
2005-06-07 22:35,2622232533
2005-06-07 22:40,2569332246
2005-06-07 22:45,2900771417
2005-06-07 22:50,2362620888
2005-06-07 22:55,2338511945
2005-06-07 23:00,2346308954
2005-06-07 23:05,2485275798
2005-06-07 23:10,2383711038
2005-06-07 23:15,2352537359
2005-06-07 23:20,2438498778
2005-06-07 23:25,2387348189
2005-06-07 23:30,2136407019
2005-06-07 23:35,2105109648
2005-06-07 23:40,2108515945
2005-06-07 23:45,2361817024
2005-06-07 23:50,2145379850
2005-06-07 23:55,2216433223
2005-06-08 00:00,2205983887
2005-06-08 00:05,2125875017
2005-06-08 00:10,2386775906
2005-06-08 00:15,2242831948
2005-06-08 00:20,2154930604
2005-06-08 00:25,2106550611
2005-06-08 00:30,2048932841
2005-06-08 00:35,2072852739
2005-06-08 00:40,2146743453
2005-06-08 00:45,1898012332
2005-06-08 00:50,1805834137
2005-06-08 00:55,1846509090
2005-06-08 01:00,1819926546
2005-06-08 01:05,1734400487
2005-06-08 01:10,1785433036
2005-06-08 01:15,1733610241
2005-06-08 01:20,1694384060
2005-06-08 01:25,1701288588
2005-06-08 01:30,1722159905
2005-06-08 01:35,1706410228
2005-06-08 01:40,2015585016
2005-06-08 01:45,1795574327
2005-06-08 01:50,1780259206
2005-06-08 01:55,1671931744
2005-06-08 02:00,1679005182
2005-06-08 02:05,1668891063
2005-06-08 02:10,1728025343
2005-06-08 02:15,1723179180
2005-06-08 02:20,1637898222
2005-06-08 02:25,1595363849
2005-06-08 02:30,1617476695
2005-06-08 02:35,1629195853
2005-06-08 02:40,1845312155
2005-06-08 02:45,1649332044
2005-06-08 02:50,1547267504
2005-06-08 02:55,1499411740
2005-06-08 03:00,1459317981
2005-06-08 03:05,1447949146
2005-06-08 03:10,1599031982
2005-06-08 03:15,1555389960
2005-06-08 03:20,1726665812
2005-06-08 03:25,1560596693
2005-06-08 03:30,1487551813
2005-06-08 03:35,1506835860
2005-06-08 03:40,1814598605
2005-06-08 03:45,1675097503
2005-06-08 03:50,1649725627
2005-06-08 03:55,1605411867
2005-06-08 04:00,1631462039
2005-06-08 04:05,1794111915
2005-06-08 04:10,2064644330
2005-06-08 04:15,1805560623
2005-06-08 04:20,1639043272
2005-06-08 04:25,1675169871
2005-06-08 04:30,1786003377
2005-06-08 04:35,2313753829
2005-06-08 04:40,2733271598
2005-06-08 04:45,1999096513
2005-06-08 04:50,1911255872
2005-06-08 04:55,1850724767
2005-06-08 05:00,1844343109
2005-06-08 05:05,1891900880
2005-06-08 05:10,2071743151
2005-06-08 05:15,1917291872
2005-06-08 05:20,1920241635
2005-06-08 05:25,2028928664
2005-06-08 05:30,2192637441
2005-06-08 05:35,2553091807
2005-06-08 05:40,2554968485
